Date,Product,Region,Units_Sold,Revenue,Profit
2026-03-18,MDF Board,South,48,61215,12201
2025-05-08,MDF Board,South,28,43525,13967
2026-10-29,Plywood Premium,West,46,66256,23664
2026-02-19,Laminate Classic,East,19,30764,6714
2025-10-01,Laminate Classic,East,22,31205,7820
2026-04-30,Laminate Classic,South,26,26117,4987
2026-08-15,Laminate Classic,East,22,44561,7416
2026-10-13,Veneer Sheet,North,18,27473,9235
2025-02-10,Plywood Premium,West,61,91421,19406
2025-04-21,Plywood Premium,West,45,77492,23560
2025-02-18,MDF Board,South,49,51581,13541
2026-01-26,Laminate Classic,South,15,29264,4613
2027-01-17,Laminate Classic,South,20,29927,8489
2025-10-13,Plywood Premium,North,23,53879,11268
2027-01-02,Plywood Premium,North,27,52398,16838
2025-08-30,Laminate Classic,South,19,33747,5675
2025-03-20,MDF Board,South,26,56149,11646
2026-04-24,Plywood Premium,North,20,50368,15887
2025-10-18,MDF Board,East,34,56842,11406
2025-06-11,Plywood Premium,West,62,98374,19374
2026-03-05,MDF Board,South,44,64579,13257
2026-07-22,Laminate Classic,East,23,28373,8246
2025-01-05,Plywood Premium,North,27,59274,12555
2025-08-03,Veneer Sheet,West,24,29258,6518
2025-09-04,MDF Board,South,32,55350,14240
2025-09-10,MDF Board,South,38,67133,10647
2026-12-06,MDF Board,South,42,65112,12371
2026-11-06,Laminate Classic,East,23,31368,7199
2025-12-26,Laminate Classic,East,21,29706,6939
2025-09-11,Laminate Classic,East,20,38773,5402
2025-09-28,Veneer Sheet,North,18,41160,8504
2025-08-17,Veneer Sheet,North,17,31971,9210
2026-11-24,Laminate Classic,East,23,38000,6777
2026-04-03,Veneer Sheet,West,34,34721,8596
2026-09-21,Veneer Sheet,West,22,30692,9149
2025-08-09,Laminate Classic,South,13,25362,7770
2026-10-18,MDF Board,East,27,53281,15024
2026-04-06,MDF Board,South,47,52373,14243
2026-09-25,Plywood Premium,North,37,68345,12063
2025-07-20,Plywood Premium,North,23,44663,9294
2026-02-26,Plywood Premium,West,54,108428,21582
2026-05-10,MDF Board,South,41,52152,14432
2026-04-18,Plywood Premium,North,21,53536,14010
2025-05-30,MDF Board,South,45,56574,11746
2025-11-01,Laminate Classic,South,25,29137,7677
2025-01-31,MDF Board,South,34,65560,15096
2025-06-20,Plywood Premium,West,44,111950,28363
2026-03-12,Veneer Sheet,West,33,41371,6195
2026-05-17,Laminate Classic,East,27,27687,6095
2026-12-24,Laminate Classic,South,24,33779,5750
2026-08-03,Plywood Premium,North,22,48135,14375
2025-05-22,Plywood Premium,North,34,53426,14520
2026-05-11,MDF Board,East,32,49788,15339
2026-07-29,Veneer Sheet,North,34,43507,10429
2026-09-30,Laminate Classic,East,25,36096,6243
2026-11-18,Veneer Sheet,North,31,49740,6985
2025-08-19,Plywood Premium,West,43,78942,26882
2025-03-05,Plywood Premium,West,65,97353,31920
2026-12-03,MDF Board,East,39,42625,9811
2025-07-02,MDF Board,South,35,50431,13009
2026-08-14,Laminate Classic,East,30,27562,6127
2026-11-08,MDF Board,South,30,58784,15062
2025-04-30,Veneer Sheet,West,30,43172,7919
2026-12-11,Veneer Sheet,North,35,50612,11432
2026-06-02,Veneer Sheet,North,18,43444,7366
2026-06-03,Plywood Premium,North,27,46222,17307
2025-04-16,MDF Board,South,41,56568,13608
2026-11-14,MDF Board,East,27,65837,14038
2026-01-02,Laminate Classic,South,18,25812,6337
2026-03-30,MDF Board,East,30,58269,9586
2025-01-16,Plywood Premium,West,43,102565,18199
2025-03-17,Laminate Classic,East,27,29987,5973
2026-10-15,Laminate Classic,South,24,24616,6430
2026-09-14,MDF Board,East,42,47197,9639
2025-06-05,Laminate Classic,East,27,34654,6149
2025-04-06,Plywood Premium,North,27,57865,13753
2025-10-19,Veneer Sheet,North,29,45707,8900
2025-10-02,Veneer Sheet,North,21,45487,7607
2026-12-19,Laminate Classic,East,21,27915,5645
2026-04-27,Laminate Classic,East,24,29288,7524
2026-09-10,MDF Board,South,29,53389,10880
2025-04-19,Laminate Classic,South,14,28138,6978
2026-09-25,Laminate Classic,South,27,35574,5765
2025-12-25,Plywood Premium,North,37,52048,16522
2026-11-21,MDF Board,East,42,58681,9512
2026-12-20,Veneer Sheet,North,36,46745,11180
2025-02-19,Plywood Premium,North,23,46742,10941
2025-09-11,Laminate Classic,South,14,30821,4756
2026-09-04,Plywood Premium,North,36,45452,16722
2025-07-23,Veneer Sheet,West,28,35070,10496
2026-03-19,Plywood Premium,North,32,82163,16182
2026-04-06,Veneer Sheet,North,24,35903,8323
2025-04-09,Plywood Premium,West,38,101230,25301
2026-12-12,Veneer Sheet,West,31,44148,6657
2025-03-19,Veneer Sheet,West,26,37305,7614
2025-07-14,MDF Board,East,25,65243,14093
2026-04-08,Veneer Sheet,West,33,40982,8316
2026-01-27,Laminate Classic,South,16,26644,7558
2026-05-03,Plywood Premium,West,55,107621,27535
2026-12-06,Veneer Sheet,North,27,32322,9178
2025-06-16,Veneer Sheet,North,29,32190,5742
2025-01-20,Plywood Premium,West,52,93165,17024
2025-06-29,MDF Board,South,42,43910,13674
2025-08-07,Laminate Classic,South,16,26536,9125
2026-01-15,Plywood Premium,North,29,72384,19116
2025-11-21,Veneer Sheet,West,32,38537,6801
2025-07-29,Veneer Sheet,North,33,38823,8533
2026-04-25,Laminate Classic,East,20,34590,7869
2026-05-10,Plywood Premium,West,56,109026,26922
2025-12-16,MDF Board,East,41,44435,9214
2025-05-20,Plywood Premium,North,44,51589,19979
2025-06-26,Veneer Sheet,North,20,53018,11713
2025-08-18,Plywood Premium,West,47,67017,16995
2026-06-26,Veneer Sheet,West,23,48672,9579
2026-10-20,MDF Board,East,36,56593,13252
2026-01-08,Plywood Premium,North,31,66604,13288
2026-12-04,Plywood Premium,West,49,93761,26405
2025-03-09,Plywood Premium,West,42,98556,18465
2027-01-02,Veneer Sheet,West,27,33677,6639
2025-09-12,MDF Board,East,41,45374,10987
2026-04-19,Veneer Sheet,West,20,48295,9188
2025-05-03,Veneer Sheet,North,22,39230,7268
2025-07-10,MDF Board,South,36,65201,11632
